Playlist ID,Original Video Title,Round,Player 1,Deck 1,Player 2,Deck 2
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Top 16 Feature Match (Part 2),Top 16,Tom Paine,Burning Abyss Monarchs,Lorenzo Roma,Phantom Knights Burning Abyss
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Top 16 Feature Match (Part 1),Top 16,Tom Paine,Burning Abyss Monarchs,Lorenzo Roma,Phantom Knights Burning Abyss
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Top 32 Feature Match,Top 32,Daniele Stella,Phantom Knights Burning Abyss,Joshua Schmidt,Pendulum
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Round 11 Feature Match,Round 11,Finn Bakewell,Pendulum,Tom Viergutz,Monarch Burning Abyss
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Dragon Duel Top 4 Feature Match,Top 4,Gabriele,Phantom Knights Burning Abyss,Strahinja,Domain Monarchs
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Round 10 Feature Match,Round 10,Stefan Bechstedt,Mermail,Dan Braudo,Pendulum
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Round 9 Feature Match,Round 9,Moritz Wenninger,Blackwings,Raphael Jarzyna,Phantom Knights Burning Abyss
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Round 8 Feature Match,Round 8,Valens Leteurtre,Burning Abyss,Brandon Bouhalib,Cyber Dragons
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Round 7 Feature Match,Round 7,Alessandro Di Patria,Burning Abyss,Luka Vulovic,Phantom Knights Burning Abyss
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Round 6 Feature Match,Round 6,Calvin Parinussa,Yosenju,Marcel Burri,Draco Performapal
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Round 5 Feature Match,Round 5,Jaskaran Oberoi,Qliphort Magician,Devon Amatdakoen,Demise Kozmo
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Round 4 Feature Match,Round 4,Long Dao,Pendulum,Steffen Fleck,Kaiju Mermail
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Round 3 Feature Match,Round 3,Alexander Rauch,Demise Kozmo,Jared Stone,Tzolkin Monarchs
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Round 2 Feature Match,Round 2,Alexander Rauch,Demise Kozmo,Jared Stone,Tzolkin Monarchs
PLIm0Rt8gzRbvYYuWPcfcb1ZNQLCoPT5vm,WCQ 2016 Berlin: Round 1 Feature Match,Round 1,Giorgio Bandera,Felgrand,Ido Marcus,Performapal Majespecter
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Final,Final,Marcello Barberi,Zoodiac,Michael Forner,Zoodiac
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Top 4 Feature Match,Top 4,Michael Forner,Zoodiac,Petros Markantonakis,Zoodiac
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Top 8 Feature Match,Top 8,Alessandro Longo,Zoodiac,Tom Paine,Zoodiac
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Top 16 Feature Match,Top 16,Tom Paine,Zoodiac,Engelbert-Peter van den Dop,True Draco Zoodiac
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Top 32 Feature Match,Top 32,Marcello Barberi,Zoodiac,Federico Pastore,Zoodiac
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Top 64 Feature Match,Top 64,Noah Riffel,Zoodiac,Reuben Baron,Zoodiac
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Round 11 Feature Match,Round 11,Andrea Ippolito,True Draco,Marvin Schmidt,Magician Zoodiac
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Dragon Duel - Final,Final,Felix Rau,True Draco Zoodiac,Erik Töpel,Zoodiac
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Round 9 Feature Match,Round 9,Alexander Hultzsch,Zoodiac,Sijing You,Magician Zoodiac
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Round 8 Feature Match,Round 8,Jack Verma,Lightsworn,Zdravko Kaishev,Windwitch Invoked
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Round 7 Feature Match,Round 7,Treven Govender,True Draco,Magnus Frafjord,Yang Zing
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Round 6 Feature Match,Round 6,Roy Diepstraten,Magician True Draco,Andrei Farcas,True Draco
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Round 5 Feature Match,Round 5,Unknown,Unknown,Unknown,Unknown
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Round 4 Feature Match,Round 4,Youri Lansman,Wind Witch Invoked,Andries Regniers,True Draco
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Round 3 Feature Match,Round 3,Maximilian Kautz,True Kings Zoodiac,Pascal Kihm,Zoodiac
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Round 3 Feature Match,Round 3,Maximilian Kautz,True Kings Zoodiac,Pascal Kihm,Zoodiac
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Round 2 Feature Match,Round 2,Michael Pantelias,True King Yang Zing,Balazs Bartha,Shinobird
PLIm0Rt8gzRbsHq8NXVNrIejQoUN3nMFfo,WCQ 2017 Utrecht: Round 1 Feature Match,Round 1,Samir Bacher,Pure Zoodiac,Florian Ginevra,Pendulum Magician
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Round 1 - Peter Chen vs Andreas Vrellos,Round 1,Peter Chen,Sky Striker Pure,Andreas Vrellos,Sky Striker Pure
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Round 2 - Zoppini Federico vs Stogiannos Konstantinos,Round 2,Zoppini Federico,Gouki,Stogiannos Konstantinos,Thunder Dragon
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Round 3 - Gevaert Driss  vs. Waser Lucas,Round 3,Driss Gevaert,Kozmo,Lucas Waser,Sky Striker Pure
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Round 4 - Herman Hansson vs. Richard Konschake,Round 4,Herman Hansson,Prankids,Richard Konschake,World Chalice
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Round 5 - Tsormpatsidis Marios vs. Asser Noah,Round 5,Tsormpatsidis Marios,Altergeist,Asser Noah,Nekroz
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Round 6 - Joshua Schmidt vs. Darren Stephenson,Round 6,Joshua Schmidt,Danger! Turbo,Darren Stephenson,Altergeist
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Round 7 - Ruben Lima vs. Ryan Lon Bachus,Round 7,Ruben Lima,Burning Abyss,Ryan Lon Bachus,Thunder Dragon
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Round 8 - Samir Bachar vs. Cyril Boiron,Round 8,Samir Bachar,Thunder Dragon,Cyril Boiron,Pendulum
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Round 9 - Dinh-Kha Bui vs. Vladis Baranovskis,Round 9,Kha Bui,Prankids,Vladis Baranovskis,Gem Knight FTK
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Round 10 - Kristoffer Nielsen vs. Adrian Dursun,Round 10,Kristoffer Nielsen,Dark Warrior,Adrian Dursun,Dark Warrior
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Round 11 - Zekias Shah vs. Eric Raimondi,Round 11,Zekias Shah,Pendulum,Eric Raimondi,Altergeist
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Top 32 - Federico Pastore vs. Maximilien Delval,Top 32,Federico Pastore,Thunder Dragons,Maximilien Delval,True Draco
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Top 16 - Dimitris Rafailidis vs. Errikos Bek - Part 1,Top 16,Dimitris Rafailidis,Thunder Dragons,Errikos Bek,Sky Striker Pure
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Top 16 - Dimitris Rafailidis vs. Errikos Bek - Part 2,Top 16,Dimitris Rafailidis,Thunder Dragons,Errikos Bek,Sky Striker Pure
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Top 8 - Simon He vs. Federico Mecozzi,Top 8,Simon He,Sky Striker,Federico Mecozzi,Thunder Dragon
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Top 4 - Andres David Torres Reyes vs. Dinh-Kha Bui,Top 4,Andres David Torres Reyes,Thunder Dragon,Dinh-Kha Bui,Prankids
PLIm0Rt8gzRbvNmWVsRbgwdxXWcX1EXxh0,YCS Milan 2018 - Final - Federico Mecozzi vs. Dinh-Kha Bui,Final,Federico Mecozzi,Thunder Dragon,Dinh-Kha Bui,Prankids
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,Round 1 – Radiant Typhoon vs Lunalight | YCS Bologna Genesys Invitational,Round 1,Unknown,Radiant Typhoon,Unknown,Lunalight | YCS Bologna Genesys Invitational
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,Round 2 – Apophis vs Ice Barrier | YCS Bologna Genesys Invitational,Round 2,Apophis,Unknown,Ice Barrier | YCS Bologna Genesys Invitational,Unknown
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,Round 3 – Dracotail Shaddoll vs Monarch | YCS Bologna Genesys Invitational,Round 3,Unknown,Dracotail Shaddoll,Unknown,Monarch | YCS Bologna Genesys Invitational
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,Round 4 – Artmage vs Mathmech | YCS Bologna Genesys Invitational,Round 4,Artmage,Unknown,Mathmech | YCS Bologna Genesys Invitational,Unknown
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,Round 5 – Radiant Typhoon vs Lunalight | YCS Bologna Genesys Invitational,Round 5,Unknown,Radiant Typhoon,Unknown,Lunalight | YCS Bologna Genesys Invitational
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,Semi-Final – Mathmech vs Psychic | YCS Bologna Genesys Invitational,Final,Unknown,Mathmech,Unknown,Psychic | YCS Bologna Genesys Invitational
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,Final – Lunalight vs Psychic | YCS Bologna Genesys Invitational,Final,Unknown,Lunalight,Unknown,Psychic | YCS Bologna Genesys Invitational
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 15 - Joo Ho A. vs. Marco P.,Round 15,Joo Ho A.,Vanquish Soul / K9,Marco P.,Dracotail
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Top 4 - Pierre B. vs. Gabriel H.,Top 4,Pierre B.,Vanquish Soul / K9,Gabriel H.,Maliss / Bystial
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Final - Pierre B. vs. Alessandro B.,Final,Pierre B.,Vanquish Soul / K9,Alessandro B.,Yummy
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Top 8 - Joshua S. vs. Giuseppe M.,Top 8,Joshua S.,Vanquish Soul / K9,Giuseppe M.,Dracotail
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 14 - Giuseppe M. vs. Samuele C.,Round 14,Giuseppe M.,Mitsurugi / K9,Samuele C.,Lunalight
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 13 - Philip W. vs. Emre K.,Round 13,Philip W.,Mitsurugi / Yummy,Emre K.,Dracotail
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 12 - Dinh-Kha B. vs. Nestoras T.,Round 12,Kha B.,Vanquish Soul / K9,Nestoras T.,Dracotail
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 10 Part 1 - Gabriel S. vs. Roselle Angelica T.,Round 10,Gabriel S.,Dracotail,Roselle Angelica T.,White Forest
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 11 - Alessandro P. vs. Sancheyen K.,Round 11,Alessandro P.,Yummy / Solfachord,Sancheyen K.,Evil★Twin / Fiendsmith
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 10 Part 2- Gabriel S. vs. Roselle Angelica T.,Round 10,Gabriel S.,Dracotail,Roselle Angelica T.,White Forest
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 9 - Antonio P. vs. Alberto Z.,Round 9,Antonio P.,Mitsurugi / Yummy,Alberto Z.,Yummy
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 8 - Kevin A. vs. Pietro S.,Round 8,Kevin A.,Mitsurugi Synchron,Pietro S.,Yummy
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 7 - Leah L. vs. Joshua S.,Round 7,Leah L.,Maliss / Bystial,Joshua S.,Vanquish Soul / K9
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 6 - Esteban R. vs. Matteo D.,Round 6,Esteban R.,Orcust,Matteo D.,Vanquish Soul / K9
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 5 -  Lucas L. vs. Tobias P.,Round 5,Lucas L.,Dracotail / K9,Tobias P.,Monarch / Dracotail
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 4 - Antonio Attilio N. vs. Pietro M.,Round 4,Antonio Attilio N.,Mitsurugi / Yummy,Pietro M.,Gem-Knight / Sky Striker Ace
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 2 - Eleonora T. vs. Dhmhtrios K.,Round 2,Eleonora T.,Yummy,Dhmhtrios K.,Gimmick Puppet
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 3 - Flaminio R. vs. Jack M.,Round 3,Flaminio R.,Memento,Jack M.,Dracotail
PLIm0Rt8gzRbuI3ij0C4yrfAQb8tMbtCt8,YCS Bologna 2025 - Round 1 - Matteo T. vs. Matthieu B.,Round 1,Matteo T.,Atlantean Mermail,Matthieu B.,Fire King
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! TCG World Championship 2025 FINAL - Julien K. vs Tom K.,Final,Julien K.,Unknown,Tom K.,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! MASTER DUEL World Championship 2025 Final: Chaiba Corp vs Ragnarok,Final,Chaiba Corp,Unknown,Ragnarok,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! DUEL LINKS: SPEED DUEL World Championship 2025 Final: Snyffus vs Kama3,Final,Snyffus,Unknown,Kama3,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! DUEL LINKS: RUSH DUEL World Championship 2025 Final: Yume Hara Sensei vs KiryuRyo,Final,Yume Hara Sensei,Unknown,KiryuRyo,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! MASTER DUEL World Championship 2025 Round 1: Fala Galera vs Team 7,Round 1,Fala Galera,Unknown,Team 7,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! MASTER DUEL World Championship 2025 Round 2: Chaiba Corp vs snipehunters,Round 2,Chaiba Corp,Unknown,snipehunters,Unknown
PLIm0Rt8gzRbvUqBmSmnIEr9nTIFuqAW_F,Yu-Gi-Oh! MASTER DUEL World Championship 2025 Round 3: FCG vs Soul Form,Round 3,FCG,Unknown,Soul Form,Unknown
